"0.001","0.001",,,,,,,
253188,253188,253188,253188,253188,253188,253188,253188,253188
252835,252835,252835,252835,901962,438845,44401,44401,44401
765561,114401,87940,87940,1040731,1412856,64769,297738,658744
1040337,41081,0,35880,702517,975519,100586,342641,755426
821935,56058,0,58622,467263,530966,160210,340639,691491
251543,182795,42861,185038,165335,170778,451234,222885,39076
235843,443628,436776,444109,441161,283816,995424,73541,0
663278,831840,1254986,620438,450868,754589,1105358,0,0
2163833,1153914,1506680,1879474,1753085,1514970,1105358,0,0
3356881,794359,2084405,3039012,2825185,2173821,1003162,0,0
771727,1125019,992837,766131,491135,888126,1105456,0,0
355736,523298,886537,502371,451797,434886,1105456,30560,0
179708,501921,214611,500160,498201,164775,514180,49478,28880
284705,471144,631506,392101,385919,399690,1105456,0,0
614046,952279,1178728,637888,404475,718819,1105456,0,0
2852489,1004865,1861581,2540963,2367107,1895768,1049208,0,0
2853262,1005142,1862014,2541389,2367205,1896912,1049208,0,0
614432,952723,1179173,638220,405810,719138,1105456,2821,261259
284931,471210,631667,392317,386710,399796,1105456,112924,936402
179787,502539,214759,501535,498820,165434,511157,192425,829654
356642,523614,887016,502956,453579,435359,1099151,332063,597527
773890,1126582,994820,767225,495341,889936,1099151,346286,558082
3361301,796585,2088753,3046174,2828956,2187444,997078,342164,0
2169790,1156803,1512591,1884475,1755872,1526663,1099151,348158,177296
665075,832978,1256873,621980,455294,756785,1099151,348158,759267
236100,445072,437349,446687,442643,285477,989218,333121,582746
252144,183907,42954,186800,165938,171502,454408,261370,940194
823284,56834,0,59672,468968,532568,161220,571791,802122
1041913,41771,0,36614,703856,977772,101177,571791,264222
766688,114979,88039,88039,1042406,1415293,65265,388788,264222
253109,253109,253109,253109,903381,439532,44445,181575,134543
253385,253385,253385,253385,253385,253385,253385,253385,253385
