iter,Tout_K,dT_K,Qout_W,pct
1650,319.872815,3.7228150000000255,213.81387068492361,42.80557971670142
1675,319.92167,3.7716700000000287,216.61977875511045,43.367323074096184
1725,320.027704,3.877704000000051,222.70967040006454,44.586520600613525
1750,320.270346,4.1203460000000405,236.64542203175418,47.37646086721806
1775,320.465268,4.315268000000003,247.84045248629957,49.61770820546538
2025,321.46009,5.310090000000002,304.97644835569287,61.056346017155725
2050,321.520101,5.370101000000034,308.42308327944806,61.746363018908525
2075,321.579061,5.429061000000047,311.80935571457735,62.42429543835383
2100,321.637007,5.4870070000000055,315.1373906963585,63.090568707979685
2125,321.69395,5.543949999999995,318.4078199920418,63.74530930771608
2150,321.965144,5.815144000000032,333.98340965914446,66.86354547730619
2175,322.133075,5.983075000000042,343.62825559373744,68.7944455643118
2200,322.239147,6.089147000000025,349.72032970735506,70.0140800214925
2225,322.334053,6.184053000000006,355.1711026335464,71.10532585256183
2250,322.423656,6.273656000000017,360.31730631409016,72.1355968596777
2275,322.509854,6.359854000000041,365.26794931550285,73.12671657968025
2300,322.593063,6.443062999999995,370.04692392633143,74.0834682535198
2325,322.673436,6.523436000000004,374.6630174546322,75.00761110202848
2350,322.751051,6.601051000000041,379.12070970450714,75.90004198288432
2375,322.826001,6.676001000000042,383.42534198084513,76.76183022639542
2400,322.89836,6.748360000000048,387.58116435420817,77.59382669753917
2425,322.968216,6.818216000000007,391.5932309625562,78.39704323574699
2450,323.035642,6.8856420000000185,395.4657344430687,79.17231920782156
2475,323.100723,6.950723000000039,399.20355663354815,79.9206319586683
2500,323.163529,7.0135290000000055,402.8107178710069,80.64278636056194
2525,323.224142,7.074141999999995,406.2919276930966,81.33972526388321
2550,323.282628,7.132628000000011,409.65097670328964,82.01220754820613
2575,323.339065,7.189065000000028,412.892344705688,82.66113007120882
2600,323.393516,7.243516,416.0196500036033,83.2872172179386
2625,323.446053,7.296053000000029,419.0370278008294,83.8912968570229
2650,323.496739,7.346739000000014,421.94809640067456,84.47409337350842
2675,323.545641,7.395641000000012,424.75670384000034,85.03637714514521
2700,323.592816,7.44281600000005,427.466123821807,85.57880356792933
2725,323.638329,7.4883290000000216,430.0800895161745,86.10212002325815
2750,323.682234,7.532234000000017,432.6017023259489,86.60694741260238
2775,323.72459,7.574590000000001,435.03435082089885,87.09396412830807
2800,323.765448,7.615448000000015,437.38096410370974,87.56375657731927
2825,323.804865,7.654865000000029,439.6448158773785,88.01698015563133
2850,323.842888,7.692888000000039,441.82860551104415,88.45417527748631
2875,323.87957,7.729570000000024,443.93537697416036,88.87595134617825
2900,323.914956,7.764956000000041,445.9677147690979,89.28282577959918
2925,323.949093,7.799093000000028,447.92831826499236,89.67533899199046
2950,323.982025,7.832025000000044,449.81971453082866,90.0539969030688
2975,324.013796,7.863796000000036,451.64443063558514,90.41930543254958
2987,324.028645,7.878645000000006,452.4972589834332,90.59004183852515
3000,324.044446,7.894446000000016,453.40476391470014,90.77172450744747
3025,324.074017,7.924017000000049,455.103126570387,91.11173705112853
3050,324.102545,7.952545000000043,456.74158620453437,91.43975699790478
3075,324.13007,7.980070000000012,458.3224401525806,91.75624427479092
3100,324.156627,8.006627000000037,459.84769858303844,92.06160131792561
3125,324.182251,8.03225100000003,461.3193716644107,92.35623056344558
3150,324.206975,8.056975000000023,462.73935469843536,92.64051145113821
3175,324.23083,8.080830000000049,464.10942812007846,92.91480042444013
3200,324.253849,8.103849000000025,465.4314872310714,93.17947692313741
3225,324.276062,8.126062000000047,466.70725503299786,93.43488589249208
3250,324.297498,8.147498000000041,467.93839709404597,93.68136077958879
3275,324.318183,8.168182999999999,469.1264066822497,93.91920053698692
3300,324.338146,8.188146000000017,470.2729493658069,94.14873861177315
3325,324.357411,8.207411000000036,471.37940354597674,94.3702509601555
3350,324.376004,8.226004000000046,472.44726249079315,94.58403653469333
3375,324.39395,8.24395000000004,473.4779620349044,94.79038278977066
3400,324.41127,8.261270000000025,474.4727082794155,94.98953118707017
3425,324.427988,8.27798800000005,475.43287962559197,95.18175768280119
3450,324.444125,8.294125000000008,476.3596821745324,95.36730373864512
3475,324.459702,8.309702000000016,477.2543220273482,95.54641081628593
3500,324.474739,8.324739000000022,478.11794785175545,95.71930887923033
3525,324.489256,8.339256000000034,478.95170831547324,95.88622789098564
3550,324.503271,8.353271000000007,479.75663721944596,96.0473748187079
3575,324.516801,8.36680100000001,480.5337109312387,96.20294513137912
3600,324.529864,8.379863999999998,481.28396325179574,96.3531457961553
3625,324.542478,8.39247800000004,482.00842798206804,96.4981837801938
3650,324.554658,8.40465800000004,482.7079666228392,96.63823155612397
