iter,T_K,T_C
6475,3.52243274e+02,79.0933
6500,3.52233393e+02,79.0834
6525,3.52223394e+02,79.0734
6550,3.52213307e+02,79.0633
6575,3.52203161e+02,79.0532
6600,3.52192982e+02,79.043
6625,3.52182793e+02,79.0328
6650,3.52172615e+02,79.0226
6675,3.52162468e+02,79.0125
6700,3.52152369e+02,79.0024
6725,3.52142336e+02,78.9923
6750,3.52132381e+02,78.9824
6775,3.52122518e+02,78.9725
6800,3.52112755e+02,78.9628
6825,3.52103109e+02,78.9531
6850,3.52093585e+02,78.9436
6875,3.52084190e+02,78.9342
6900,3.52074933e+02,78.9249
6925,3.52065819e+02,78.9158
6950,3.52056853e+02,78.9069
6975,3.52048042e+02,78.898
7000,3.52039388e+02,78.8894
