"0.001","0.001",,,,,,,
253385,253385,253385,253385,253385,253385,253385,253385,253385
253109,253109,253109,253109,903381,439532,44445,181575,134543
766688,114979,88039,88039,1042406,1415293,65265,388788,658744
1041913,41771,0,36614,703856,977772,101177,571791,755426
823284,56834,0,59672,468968,532568,161220,571791,802122
252144,183907,42954,186800,165938,171502,454408,261370,940194
236100,445072,437349,446687,442643,285477,995424,333121,582746
665075,832978,1256873,621980,455294,756785,1105358,348158,759267
2169790,1156803,1512591,1884475,1755872,1526663,1105358,348158,177296
3361301,796585,2088753,3046174,2828956,2187444,1003162,342164,0
773890,1126582,994820,767225,495341,889936,1105456,346286,558082
356642,523614,887016,502956,453579,435359,1105456,332063,597527
179787,502539,214759,501535,498820,165434,514180,192425,829654
284931,471210,631667,392317,386710,399796,1105456,112924,936402
614432,952723,1179173,638220,405810,719138,1105456,2821,261259
2853262,1005142,1862014,2541389,2367205,1896912,1049208,0,0
